Module                  Size  Used by
bnep                   28672  2
ccm                    20480  9
algif_aead             16384  0
cbc                    16384  0
amdgpu               7061504  20
des_generic            16384  0
libdes                 28672  1 des_generic
ecb                    16384  0
algif_skcipher         16384  0
cmac                   16384  0
md4                    16384  0
algif_hash             20480  0
af_alg                 36864  3 algif_hash,algif_skcipher,algif_aead
btusb                  69632  0
btrtl                  28672  1 btusb
btbcm                  16384  1 btusb
btintel                36864  1 btusb
bluetooth             774144  11 btrtl,btintel,btbcm,bnep,btusb
snd_hda_codec_conexant    28672  1
snd_hda_codec_generic   110592  1 snd_hda_codec_conexant
ledtrig_audio          16384  1 snd_hda_codec_generic
snd_hda_codec_hdmi     86016  1
iwlmvm                512000  0
ecdh_generic           16384  1 bluetooth
snd_hda_intel          57344  5
ecc                    36864  1 ecdh_generic
snd_intel_dspcfg       24576  1 snd_hda_intel
soundwire_intel        45056  1 snd_intel_dspcfg
soundwire_generic_allocation    16384  1 soundwire_intel
mac80211             1163264  1 iwlmvm
uvcvideo              118784  0
edac_mce_amd           32768  0
soundwire_cadence      36864  1 soundwire_intel
videobuf2_vmalloc      20480  1 uvcvideo
kvm_amd               122880  0
videobuf2_memops       20480  1 videobuf2_vmalloc
hid_sensor_accel_3d    20480  0
hid_sensor_trigger     20480  2 hid_sensor_accel_3d
joydev                 28672  0
snd_hda_codec         184320  4 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel
videobuf2_v4l2         36864  1 uvcvideo
mousedev               24576  0
kvm                  1019904  1 kvm_amd
snd_hda_core          114688  5 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec
libarc4                16384  1 mac80211
wacom                 126976  0
hid_sensor_iio_common    20480  2 hid_sensor_trigger,hid_sensor_accel_3d
videobuf2_common       69632  2 videobuf2_v4l2,uvcvideo
videodev              311296  3 videobuf2_v4l2,uvcvideo,videobuf2_common
snd_hwdep              16384  1 snd_hda_codec
soundwire_bus          94208  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
cdc_ether              24576  0
usbhid                 65536  1 wacom
usbnet                 57344  1 cdc_ether
irqbypass              16384  1 kvm
crct10dif_pclmul       16384  1
snd_soc_core          348160  1 soundwire_intel
r8152                 110592  0
hid_sensor_hub         24576  3 hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_accel_3d
mc                     73728  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
wmi_bmof               16384  0
iwlwifi               430080  1 iwlmvm
hid_multitouch         32768  0
gpu_sched              45056  1 amdgpu
mii                    20480  2 usbnet,r8152
crc32_pclmul           16384  0
ghash_clmulni_intel    16384  0
bmc150_accel_spi       16384  0
i2c_algo_bit           16384  1 amdgpu
vfat                   24576  1
ttm                   122880  1 amdgpu
snd_compress           28672  1 snd_soc_core
ac97_bus               16384  1 snd_soc_core
fat                    90112  1 vfat
snd_pcm_dmaengine      16384  1 snd_soc_core
aesni_intel           372736  6
crypto_simd            16384  1 aesni_intel
drm_kms_helper        294912  1 amdgpu
snd_pcm               163840  8 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_compress,snd_soc_core,snd_hda_core,snd_pcm_dmaengine
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
cfg80211             1011712  3 iwlmvm,iwlwifi,mac80211
tpm_crb                24576  0
snd_timer              45056  1 snd_pcm
glue_helper            16384  1 aesni_intel
snd                   118784  20 snd_hda_codec_generic,snd_hda_codec_conexant,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_timer,snd_compress,snd_soc_core,snd_pcm
tpm_tis                16384  0
cec                    81920  1 drm_kms_helper
ideapad_laptop         24576  0
bmc150_accel_i2c       16384  0
tpm_tis_core           32768  1 tpm_tis
rapl                   16384  0
sp5100_tco             20480  0
ccp                   122880  1 kvm_amd
syscopyarea            16384  1 drm_kms_helper
snd_rn_pci_acp3x       20480  0
sysfillrect            16384  1 drm_kms_helper
sparse_keymap          16384  1 ideapad_laptop
sysimgblt              16384  1 drm_kms_helper
bmc150_accel_core      40960  2 bmc150_accel_spi,bmc150_accel_i2c
pcspkr                 16384  0
